symbol,organ_name,icb_name3,icb_name2,icb_name4,com_type_code,icb_code1,icb_code2,icb_code3,icb_code4
BED,Công ty Cổ phần Sách và Thiết bị trường học Đà Nẵng,Truyền thông,Truyền thông,"Sách, ấn bản & sản phẩm văn hóa",CT,5000,5500,5550,5557
BCR,Công ty Cổ phần BCG Land,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng,CT,2000,2300,2350,2357
TS3,Công ty Cổ phần Trường Sơn 532,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng,CT,2000,2300,2350,2357
BHN,Tổng Công ty Cổ phần Bia - Rượu - Nước giải khát Hà Nội,Bia và đồ uống,Thực phẩm và đồ uống,Sản xuất bia,CT,3000,3500,3530,3533
BID,Ngân hàng Thương mại Cổ phần Đầu tư và Phát triển Việt Nam,Ngân hàng,Ngân hàng,Ngân hàng,NH,8301,8300,8350,8355
C22,Công ty Cổ phần 22,Sản xuất thực phẩm,Thực phẩm và đồ uống,Thực phẩm,CT,3000,3500,3570,3577
BHP,Công ty Cổ phần Bia Hà Nội - Hải Phòng,Bia và đồ uống,Thực phẩm và đồ uống,Sản xuất bia,CT,3000,3500,3530,3533
CPA,Công ty Cổ phần Cà phê Phước An,Bia và đồ uống,Thực phẩm và đồ uống,Đồ uống & giải khát,CT,3000,3500,3530,3537
CNC,Công ty Cổ phần Công nghệ cao Traphaco,Dược phẩm,Y tế,Dược phẩm,CT,4000,4500,4570,4577
CDO,Công ty Cổ phần Tư vấn Thiết kế và Phát triển Đô thị,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng,CT,2000,2300,2350,2357
CC1,Tổng Công ty Xây dựng số 1 - CTCP,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng,CT,2000,2300,2350,2357
ATS,Công ty Cổ phần Tập đoàn Đầu tư ATS,Du lịch & Giải trí,Du lịch và Giải trí,Nhà hàng và quán bar,CT,5000,5700,5750,5757
CEN,Công ty Cổ phần CENCON Việt Nam,Bán lẻ,Bán lẻ,Bán lẻ phức hợp,CT,5000,5300,5370,5373
BHG,Công ty Cổ phần Chè Biển Hồ,Bia và đồ uống,Thực phẩm và đồ uống,Đồ uống & giải khát,CT,3000,3500,3530,3537
AVF,Công ty Cổ phần Việt An,Sản xuất thực phẩm,Thực phẩm và đồ uống,Nuôi trồng nông & hải sản,CT,3000,3500,3570,3573
BTV,Công ty Cổ phần Dịch vụ Du lịch Bến Thành,Du lịch & Giải trí,Du lịch và Giải trí,Vận tải hành khách & Du lịch,CT,5000,5700,5750,5759
CID,Công ty Cổ phần Xây dựng và Phát triển Cơ sở Hạ tầng,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng,CT,2000,2300,2350,2357
TVH,Công ty Cổ phần Tư vấn Xây dựng công trình Hàng hải,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng,CT,2000,2300,2350,2357
CT6,Công ty Cổ phần Công trình 6,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng,CT,2000,2300,2350,2357
CMC,Công ty Cổ phần Đầu tư CMC,Công nghiệp nặng,Hàng & Dịch vụ Công nghiệp,Máy công nghiệp,CT,2000,2700,2750,2757
BAF,Công ty Cổ phần Nông nghiệp BAF Việt Nam,Sản xuất thực phẩm,Thực phẩm và đồ uống,Nuôi trồng nông & hải sản,CT,3000,3500,3570,3573
GTS,Công ty Cổ phần Công trình Giao thông Sài Gòn,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng,CT,2000,2300,2350,2357
BMG,Công ty Cổ phần May Bình Minh,Hàng cá nhân,Hàng cá nhân & Gia dụng,Hàng May mặc,CT,3000,3700,3760,3763
CIA,Công ty Cổ Phần Dịch Vụ Sân Bay Quốc Tế Cam Ranh,Vận tải,Hàng & Dịch vụ Công nghiệp,"Kho bãi, hậu cần và bảo dưỡng",CT,2000,2700,2770,2777
CAP,Công ty Cổ phần Lâm Nông sản Thực phẩm Yên Bái,Lâm nghiệp và Giấy,Tài nguyên Cơ bản,Sản xuất giấy,CT,1000,1700,1730,1737
CNN,"Công ty Cổ phần Tư vấn Công nghệ, Thiết bị và Kiểm định Xây dựng - CONINCO",Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng,CT,2000,2300,2350,2357
ASA,Công ty Cổ phần ASA,Hàng cá nhân,Hàng cá nhân & Gia dụng,Hàng cá nhân,CT,3000,3700,3760,3767
SGP,Công ty Cổ phần Cảng Sài Gòn,Vận tải,Hàng & Dịch vụ Công nghiệp,"Kho bãi, hậu cần và bảo dưỡng",CT,2000,2700,2770,2777
BBH,Công ty Cổ phần Bao bì Hoàng Thạch,Hàng công nghiệp,Hàng & Dịch vụ Công nghiệp,Containers & Đóng gói,CT,2000,2700,2720,2723
CTN,Công ty Cổ phần Xây dựng Công trình ngầm,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng,CT,2000,2300,2350,2357
CTW,Công ty Cổ phần Cấp thoát nước Cần Thơ,Nước & Khí đốt,"Điện, nước & xăng dầu khí đốt",Nước,CT,7000,7500,7570,7577
DBM,Công ty Cổ phần Dược - Vật tư Y tế Đắk Lắk,Dược phẩm,Y tế,Dược phẩm,CT,4000,4500,4570,4577
BSP,Công ty Cổ phần Bia Sài Gòn - Phú Thọ,Bia và đồ uống,Thực phẩm và đồ uống,Sản xuất bia,CT,3000,3500,3530,3533
DCL,Công ty Cổ phần Dược phẩm Cửu Long,Dược phẩm,Y tế,Dược phẩm,CT,4000,4500,4570,4577
A32,Công ty Cổ phần 32,Hàng cá nhân,Hàng cá nhân & Gia dụng,Giầy dép,CT,3000,3700,3760,3765
DGT,Công ty Cổ phần Công trình Giao thông Đồng Nai,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng,CT,2000,2300,2350,2357
DLD,Công ty Cổ phần Du lịch Đắk Lắk,Du lịch & Giải trí,Du lịch và Giải trí,Khách sạn,CT,5000,5700,5750,5753
DLG,Công ty Cổ phần Tập đoàn Đức Long Gia Lai,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng,CT,2000,2300,2350,2357
DHG,Công ty Cổ phần Dược Hậu Giang,Dược phẩm,Y tế,Dược phẩm,CT,4000,4500,4570,4577
BST,Công ty Cổ phần Sách và Thiết bị Bình Thuận,Truyền thông,Truyền thông,"Sách, ấn bản & sản phẩm văn hóa",CT,5000,5500,5550,5557
AG1,Công ty Cổ phần 28.1,Hàng cá nhân,Hàng cá nhân & Gia dụng,Hàng May mặc,CT,3000,3700,3760,3763
BVN,Công ty Cổ phần Bông Việt Nam,Hàng cá nhân,Hàng cá nhân & Gia dụng,Hàng cá nhân,CT,3000,3700,3760,3767
BCC,Công ty Cổ phần Xi măng Bỉm Sơn,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,CT,2000,2300,2350,2353
CVN,Công ty Cổ phần Vinam,Thiết bị và Dịch vụ Y tế,Y tế,Thiết bị y tế,CT,4000,4500,4530,4535
BTD,Công ty Cổ phần Bê tông ly tâm Thủ Đức,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,CT,2000,2300,2350,2353
CMW,Công ty Cổ phần Cấp nước Cà Mau,Nước & Khí đốt,"Điện, nước & xăng dầu khí đốt",Nước,CT,7000,7500,7570,7577
DNC,Công ty Cổ phần Điện nước Lắp máy Hải Phòng,Sản xuất & Phân phối Điện,"Điện, nước & xăng dầu khí đốt",Sản xuất & Phân phối Điện,CT,7000,7500,7530,7535
BDG,Công ty Cổ phần May mặc Bình Dương,Hàng cá nhân,Hàng cá nhân & Gia dụng,Hàng May mặc,CT,3000,3700,3760,3763
DOP,Công ty Cổ phần Vận tải Xăng dầu Đồng Tháp,Vận tải,Hàng & Dịch vụ Công nghiệp,Dịch vụ vận tải,CT,2000,2700,2770,2779
BHK,Công ty Cổ phần Bia Hà Nội - Kim Bài,Bia và đồ uống,Thực phẩm và đồ uống,Sản xuất bia,CT,3000,3500,3530,3533
DTE,Công ty Cổ phần Đầu tư Năng lượng Đại Trường Thành Holdings,Sản xuất & Phân phối Điện,"Điện, nước & xăng dầu khí đốt",Sản xuất & Phân phối Điện,CT,7000,7500,7530,7535
CBS,Công ty Cổ phần Mía đường Cao Bằng,Sản xuất thực phẩm,Thực phẩm và đồ uống,Thực phẩm,CT,3000,3500,3570,3577
MTV,Công ty Cổ phần Dịch vụ Môi trường và Công trình Đô thị Vũng Tàu,Tư vấn & Hỗ trợ Kinh doanh,Hàng & Dịch vụ Công nghiệp,Chất thải & Môi trường,CT,2000,2700,2790,2799
DPM,Tổng Công ty Phân bón và Hóa chất Dầu khí - Công ty Cổ phần,Hóa chất,Hóa chất,"Sản phẩm hóa dầu, Nông dược & Hóa chất khác",CT,1000,1300,1350,1357
BLN,Công ty Cổ phần Vận tải và Dịch vụ Liên Ninh,Du lịch & Giải trí,Du lịch và Giải trí,Vận tải hành khách & Du lịch,CT,5000,5700,5750,5759
ASP,Công ty Cổ phần Tập đoàn Dầu khí An Pha,Nước & Khí đốt,"Điện, nước & xăng dầu khí đốt",Phân phối xăng dầu & khí đốt,CT,7000,7500,7570,7573
MGG,Tổng Công ty Đức Giang - Công ty Cổ phần,Hàng cá nhân,Hàng cá nhân & Gia dụng,Hàng May mặc,CT,3000,3700,3760,3763
E29,Công ty cổ phần Đầu tư Xây dựng và Kỹ thuật 29,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng,CT,2000,2300,2350,2357
DDV,Công ty Cổ phần DAP - Vinachem,Hóa chất,Hóa chất,"Sản phẩm hóa dầu, Nông dược & Hóa chất khác",CT,1000,1300,1350,1357
DIC,Công ty Cổ phần Đầu tư và Thương mại DIC,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,CT,2000,2300,2350,2353
DXS,Công ty Cổ phần Dịch vụ Bất động sản Đất Xanh,Bất động sản,Bất động sản,"Tư Vấn, Định giá, Môi giới Bất động sản",CT,8000,8600,8630,8637
DXV,Công ty Cổ phần VICEM Vật liệu Xây dựng Đà Nẵng,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,CT,2000,2300,2350,2353
EBS,Công ty Cổ phần Sách Giáo dục tại Thành phố Hà Nội,Truyền thông,Truyền thông,"Sách, ấn bản & sản phẩm văn hóa",CT,5000,5500,5550,5557
DGC,Công ty Cổ phần Tập đoàn Hóa chất Đức Giang,Hóa chất,Hóa chất,"Sản phẩm hóa dầu, Nông dược & Hóa chất khác",CT,1000,1300,1350,1357
DNE,Công ty Cổ phần Môi trường Đô thị Đà Nẵng,Tư vấn & Hỗ trợ Kinh doanh,Hàng & Dịch vụ Công nghiệp,Chất thải & Môi trường,CT,2000,2700,2790,2799
ELC,Công ty Cổ phần Công nghệ - Viễn thông ELCOM,Thiết bị và Phần cứng,Công nghệ Thông tin,Thiết bị viễn thông,CT,9000,9500,9570,9578
HNB,Công ty Cổ phần Bến xe Hà Nội,Vận tải,Hàng & Dịch vụ Công nghiệp,"Kho bãi, hậu cần và bảo dưỡng",CT,2000,2700,2770,2777
DTL,Công ty Cổ phần Đại Thiên Lộc,Kim loại,Tài nguyên Cơ bản,Thép và sản phẩm thép,CT,1000,1700,1750,1757
EVF,Công ty Tài chính Tổng hợp Cổ phần Điện Lực,Dịch vụ tài chính,Dịch vụ tài chính,Tài chính cá nhân,NH,8000,8700,8770,8773
LEC,Công ty Cổ phần Bất động sản Điện lực Miền Trung,Bất động sản,Bất động sản,Bất động sản,CT,8000,8600,8630,8633
BCM,Tổng Công ty Đầu tư và Phát triển Công nghiệp - CTCP,Bất động sản,Bất động sản,Bất động sản,CT,8000,8600,8630,8633
AIG,Công ty Cổ phần Nguyên liệu Á Châu AIG,Sản xuất thực phẩm,Thực phẩm và đồ uống,Thực phẩm,CT,3000,3500,3570,3577
AVG,Công ty Cổ phần Phân Bón Quốc Tế Âu Việt,Hóa chất,Hóa chất,"Sản phẩm hóa dầu, Nông dược & Hóa chất khác",CT,1000,1300,1350,1357
ATA,Công ty Cổ phần NTACO,Sản xuất thực phẩm,Thực phẩm và đồ uống,Nuôi trồng nông & hải sản,CT,3000,3500,3570,3573
ATG,Công ty Cổ phần An Trường An,Khai khoáng,Tài nguyên Cơ bản,Khai khoáng,CT,1000,1700,1770,1775
CX8,Công ty Cổ phần Đầu tư và Xây lắp Constrexim số 8,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng,CT,2000,2300,2350,2357
DAS,Công ty Cổ phần Máy - Thiết bị Dầu khí Đà Nẵng,Ô tô và phụ tùng,Ô tô và phụ tùng,Sản xuất ô tô,CT,3000,3300,3350,3353
TT6,Công ty Cổ Phần Tập Đoàn Tiến Thịnh,Sản xuất thực phẩm,Thực phẩm và đồ uống,Thực phẩm,CT,3000,3500,3570,3577
DAH,Công ty Cổ phần Tập đoàn Khách sạn Đông Á,Du lịch & Giải trí,Du lịch và Giải trí,Khách sạn,CT,5000,5700,5750,5753
ROS,Công ty Cổ phần Xây dựng FLC FAROS,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng,CT,2000,2300,2350,2357
FBA,Công ty Cổ phần Tập đoàn Quốc tế FBA,Hàng gia dụng,Hàng cá nhân & Gia dụng,Thiết bị gia dụng,CT,3000,3700,3720,3726
LPT,Công ty Cổ phần Thương mại và Sản xuất Lập Phương Thành,Tư vấn & Hỗ trợ Kinh doanh,Hàng & Dịch vụ Công nghiệp,Đào tạo & Việc làm,CT,2000,2700,2790,2793
BMC,Công ty Cổ phần Khoáng sản Bình Định,Khai khoáng,Tài nguyên Cơ bản,Khai khoáng,CT,1000,1700,1770,1775
DWC,Công ty Cổ phần Cấp nước Đắk Lắk,Nước & Khí đốt,"Điện, nước & xăng dầu khí đốt",Nước,CT,7000,7500,7570,7577
DAN,Công ty Cổ phần Dược Danapha,Dược phẩm,Y tế,Dược phẩm,CT,4000,4500,4570,4577
AAA,Công ty Cổ phần Nhựa An Phát Xanh,Hóa chất,Hóa chất,"Nhựa, cao su & sợi",CT,1000,1300,1350,1353
BMD,Công ty Cổ phần Môi trường và Dịch vụ Đô thị Bình Thuận,Tư vấn & Hỗ trợ Kinh doanh,Hàng & Dịch vụ Công nghiệp,Chất thải & Môi trường,CT,2000,2700,2790,2799
AAM,Công ty Cổ Phần Thủy Sản MeKong,Sản xuất thực phẩm,Thực phẩm và đồ uống,Nuôi trồng nông & hải sản,CT,3000,3500,3570,3573
ATB,Công ty Cổ phần An Thịnh,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng,CT,2000,2300,2350,2357
HHV,Công ty Cổ phần Đầu tư Hạ tầng Giao thông Đèo Cả,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng,CT,2000,2300,2350,2357
FIR,Công ty Cổ phần Địa ốc First Real,Bất động sản,Bất động sản,Bất động sản,CT,8000,8600,8630,8633
FSO,Công ty Cổ phần Cơ khí đóng tàu thủy sản Việt Nam,Công nghiệp nặng,Hàng & Dịch vụ Công nghiệp,Xe tải & Đóng tàu,CT,2000,2700,2750,2753
ART,Công ty Cổ phần Chứng khoán ARTEX,Dịch vụ tài chính,Dịch vụ tài chính,Môi giới chứng khoán,CK,8000,8700,8770,8777
CAD,Công ty Cổ phần Chế biến và Xuất khẩu Thủy sản Cadovimex,Sản xuất thực phẩm,Thực phẩm và đồ uống,Nuôi trồng nông & hải sản,CT,3000,3500,3570,3573
FBC,Công ty Cổ phần Cơ khí Phổ Yên,Công nghiệp nặng,Hàng & Dịch vụ Công nghiệp,Máy công nghiệp,CT,2000,2700,2750,2757
FCS,Công ty Cổ phần Lương thực Thành phố Hồ Chí Minh,Sản xuất thực phẩm,Thực phẩm và đồ uống,Thực phẩm,CT,3000,3500,3570,3577
TTS,Công ty Cổ phần Cán thép Thái Trung,Kim loại,Tài nguyên Cơ bản,Thép và sản phẩm thép,CT,1000,1700,1750,1757
DP3,Công ty Cổ Phần Dược Phẩm Trung Ương 3,Dược phẩm,Y tế,Dược phẩm,CT,4000,4500,4570,4577
FCN,Công ty Cổ phần FECON,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng,CT,2000,2300,2350,2357
BSD,"Công ty Cổ phần Bia, Rượu Sài Gòn - Đồng Xuân",Bia và đồ uống,Thực phẩm và đồ uống,Sản xuất bia,CT,3000,3500,3530,3533
AAT,Công ty Cổ phần Tập đoàn Tiên Sơn Thanh Hóa,Hàng cá nhân,Hàng cá nhân & Gia dụng,Hàng May mặc,CT,3000,3700,3760,3763
FPT,Công ty Cổ phần FPT,Phần mềm & Dịch vụ Máy tính,Công nghệ Thông tin,Phần mềm,CT,9000,9500,9530,9537
CPH,Công ty Cổ phần Phục vụ Mai táng Hải Phòng,Bán lẻ,Bán lẻ,Dịch vụ tiêu dùng chuyên ngành,CT,5000,5300,5370,5377
CPI,Công ty Cổ phần Đầu tư Cảng Cái Lân,Vận tải,Hàng & Dịch vụ Công nghiệp,"Kho bãi, hậu cần và bảo dưỡng",CT,2000,2700,2770,2777
BMJ,Công ty Cổ phần Khoáng sản Miền Đông AHP,Khai khoáng,Tài nguyên Cơ bản,Khai khoáng,CT,1000,1700,1770,1775
FRT,Công ty Cổ phần Bán lẻ Kỹ thuật số FPT,Bán lẻ,Bán lẻ,Phân phối hàng chuyên dụng,CT,5000,5300,5370,5379
DRC,Công ty Cổ phần Cao su Đà Nẵng,Ô tô và phụ tùng,Ô tô và phụ tùng,Lốp xe,CT,3000,3300,3350,3357
VDG,Công ty Cổ phần Vạn Đạt Group,Hàng cá nhân,Hàng cá nhân & Gia dụng,Hàng May mặc,CT,3000,3700,3760,3763
PGV,Tổng Công ty Phát điện 3 - Công ty Cổ phần,Sản xuất & Phân phối Điện,"Điện, nước & xăng dầu khí đốt",Sản xuất & Phân phối Điện,CT,7000,7500,7530,7535
TDB,Công ty Cổ phần Thủy điện Định Bình,Sản xuất & Phân phối Điện,"Điện, nước & xăng dầu khí đốt",Sản xuất & Phân phối Điện,CT,7000,7500,7530,7535
DAG,Công ty Cổ phần Tập đoàn Nhựa Đông Á,Hóa chất,Hóa chất,"Nhựa, cao su & sợi",CT,1000,1300,1350,1353
CII,Công ty Cổ phần Đầu tư Hạ tầng Kỹ thuật Thành phố Hồ Chí Minh,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng,CT,2000,2300,2350,2357
CK8,Công ty Cổ phần Cơ khí 120,Bất động sản,Bất động sản,Bất động sản,CT,8000,8600,8630,8633
BDT,Công ty Cổ phần Xây lắp và Vật liệu xây dựng Đồng Tháp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,CT,2000,2300,2350,2353
EMS,Tổng Công ty Chuyển phát nhanh Bưu điện - Công ty Cổ phần,Vận tải,Hàng & Dịch vụ Công nghiệp,Chuyển phát nhanh,CT,2000,2700,2770,2771
GHC,Công ty Cổ phần Thủy điện Gia Lai,Sản xuất & Phân phối Điện,"Điện, nước & xăng dầu khí đốt",Sản xuất & Phân phối Điện,CT,7000,7500,7530,7535
CMI,Công ty Cổ phần CMISTONE Việt Nam,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,CT,2000,2300,2350,2353
FGL,Công ty Cổ phần Cà phê Gia Lai,Bia và đồ uống,Thực phẩm và đồ uống,Đồ uống & giải khát,CT,3000,3500,3530,3537
GLC,Công ty Cổ phần Vàng Lào Cai,Khai khoáng,Tài nguyên Cơ bản,Khai thác vàng,CT,1000,1700,1770,1777
DVP,Công ty Cổ phần Đầu tư và Phát triển Cảng Đình Vũ,Vận tải,Hàng & Dịch vụ Công nghiệp,"Kho bãi, hậu cần và bảo dưỡng",CT,2000,2700,2770,2777
CMV,Công ty Cổ phần Thương nghiệp Cà Mau,Bán lẻ,Bán lẻ,Bán lẻ phức hợp,CT,5000,5300,5370,5373
DDM,Công ty Cổ phần Hàng hải Đông Đô,Vận tải,Hàng & Dịch vụ Công nghiệp,Vận tải Thủy,CT,2000,2700,2770,2773
CTI,Công ty Cổ phần Đầu tư Phát triển Cường Thuận IDICO,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng,CT,2000,2300,2350,2357
GSM,Công ty Cổ phần Thủy điện Hương Sơn,Sản xuất & Phân phối Điện,"Điện, nước & xăng dầu khí đốt",Sản xuất & Phân phối Điện,CT,7000,7500,7530,7535
PHN,Công ty Cổ phần Pin Hà Nội,Điện tử & Thiết bị điện,Hàng & Dịch vụ Công nghiệp,Hàng điện & điện tử,CT,2000,2700,2730,2733
CCR,Công ty Cổ phần Cảng Cam Ranh,Vận tải,Hàng & Dịch vụ Công nghiệp,"Kho bãi, hậu cần và bảo dưỡng",CT,2000,2700,2770,2777
HC3,Công ty Cổ phần Xây dựng số 3 Hải Phòng,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng,CT,2000,2300,2350,2357
CDH,Công ty Cổ phần Công trình Công cộng và Dịch vụ Du lịch Hải Phòng,Tư vấn & Hỗ trợ Kinh doanh,Hàng & Dịch vụ Công nghiệp,Chất thải & Môi trường,CT,2000,2700,2790,2799
CKG,Công ty Cổ phần Tập đoàn CIC,Bất động sản,Bất động sản,Bất động sản,CT,8000,8600,8630,8633
HAH,Công ty Cổ phần Vận tải và Xếp dỡ Hải An,Vận tải,Hàng & Dịch vụ Công nghiệp,"Kho bãi, hậu cần và bảo dưỡng",CT,2000,2700,2770,2777
CFV,Công ty Cổ phần Cà phê Thắng Lợi,Bia và đồ uống,Thực phẩm và đồ uống,Đồ uống & giải khát,CT,3000,3500,3530,3537
HAI,Công ty Cổ phần Nông dược HAI,Hóa chất,Hóa chất,"Sản phẩm hóa dầu, Nông dược & Hóa chất khác",CT,1000,1300,1350,1357
AAV,Công ty Cổ phần AAV Group,Bất động sản,Bất động sản,Bất động sản,CT,8000,8600,8630,8633
CTR,Tổng Công ty Cổ phần Công trình Viettel,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng,CT,2000,2300,2350,2357
BMP,Công ty Cổ phần Nhựa Bình Minh,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,CT,2000,2300,2350,2353
CTT,Công ty Cổ phần Chế tạo máy - Vinacomin,Công nghiệp nặng,Hàng & Dịch vụ Công nghiệp,Máy công nghiệp,CT,2000,2700,2750,2757
HID,Công ty Cổ phần Halcom Vietnam,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng,CT,2000,2300,2350,2357
CAN,Công ty Cổ phần Đồ hộp Hạ Long,Sản xuất thực phẩm,Thực phẩm và đồ uống,Thực phẩm,CT,3000,3500,3570,3577
DMN,Công ty Cổ phần Domenal,Sản xuất thực phẩm,Thực phẩm và đồ uống,Nuôi trồng nông & hải sản,CT,3000,3500,3570,3573
HNR,Công ty Cổ phần Rượu và Nước Giải Khát Hà Nội,Bia và đồ uống,Thực phẩm và đồ uống,Vang & Rượu mạnh,CT,3000,3500,3530,3535
ABB,Ngân hàng Thương mại Cổ phần An Bình,Ngân hàng,Ngân hàng,Ngân hàng,NH,8301,8300,8350,8355
BMS,Công ty Cổ phần Chứng khoán Bảo Minh,Dịch vụ tài chính,Dịch vụ tài chính,Môi giới chứng khoán,CK,8000,8700,8770,8777
CCT,Công ty Cổ phần Cảng Cần Thơ,Vận tải,Hàng & Dịch vụ Công nghiệp,"Kho bãi, hậu cần và bảo dưỡng",CT,2000,2700,2770,2777
MBN,Công ty Cổ phần Môi trường và Công trình đô thị Bắc Ninh,Tư vấn & Hỗ trợ Kinh doanh,Hàng & Dịch vụ Công nghiệp,Chất thải & Môi trường,CT,2000,2700,2790,2799
AAS,Công ty Cổ phần Chứng khoán SmartInvest,Dịch vụ tài chính,Dịch vụ tài chính,Môi giới chứng khoán,CK,8000,8700,8770,8777
BOT,Công ty Cổ phần BOT Cầu Thái Hà,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng,CT,2000,2300,2350,2357
BPC,Công ty Cổ phần Vicem Bao bì Bỉm Sơn,Hàng công nghiệp,Hàng & Dịch vụ Công nghiệp,Containers & Đóng gói,CT,2000,2700,2720,2723
CCA,Công ty Cổ phần Xuất nhập khẩu Thủy sản Cần Thơ,Sản xuất thực phẩm,Thực phẩm và đồ uống,Nuôi trồng nông & hải sản,CT,3000,3500,3570,3573
FT1,Công ty Cổ phần Phụ tùng máy số 1,Công nghiệp nặng,Hàng & Dịch vụ Công nghiệp,Máy công nghiệp,CT,2000,2700,2750,2757
ABI,Công ty Cổ phần Bảo hiểm Ngân hàng Nông Nghiệp,Bảo hiểm phi nhân thọ,Bảo hiểm,Bảo hiểm phi nhân thọ,BH,8000,8500,8530,8536
HNP,Công ty Cổ phần Hanel Xốp Nhựa,Hóa chất,Hóa chất,"Nhựa, cao su & sợi",CT,1000,1300,1350,1353
BRC,Công ty Cổ phần Cao su Bến Thành,Hóa chất,Hóa chất,"Nhựa, cao su & sợi",CT,1000,1300,1350,1353
HFB,Công ty Cổ phần Công trình Cầu phà Thành phố Hồ Chí Minh,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng,CT,2000,2300,2350,2357
CEO,Công ty Cổ phần Tập đoàn C.E.O,Bất động sản,Bất động sản,Bất động sản,CT,8000,8600,8630,8633
